[2025-09-05 04:37:06] Uncaught ReferenceError: openLoginModal is not defined | Details: {"message":"Uncaught ReferenceError: openLoginModal is not defined","source":"https://coursier.conciergerie-privee-suzosky.com/","lineno":227,"colno":82,"error":"ReferenceError: openLoginModal is not defined\n    at HTMLAnchorElement.onclick (https://coursier.conciergerie-privee-suzosky.com/:227:82)"}
[2025-09-05 04:44:14] Uncaught ReferenceError: processOrder is not defined | Details: {"message":"Uncaught ReferenceError: processOrder is not defined","source":"https://coursier.conciergerie-privee-suzosky.com/","lineno":710,"colno":91,"error":"ReferenceError: processOrder is not defined\n    at HTMLButtonElement.onclick (https://coursier.conciergerie-privee-suzosky.com/:710:91)"}
[2025-09-05 04:44:14] Uncaught ReferenceError: processOrder is not defined | Details: {"message":"Uncaught ReferenceError: processOrder is not defined","source":"https://coursier.conciergerie-privee-suzosky.com/","lineno":710,"colno":91,"error":"ReferenceError: processOrder is not defined\n    at HTMLButtonElement.onclick (https://coursier.conciergerie-privee-suzosky.com/:710:91)"}
[2025-09-05 04:44:18] Uncaught ReferenceError: processOrder is not defined | Details: {"message":"Uncaught ReferenceError: processOrder is not defined","source":"https://coursier.conciergerie-privee-suzosky.com/","lineno":710,"colno":91,"error":"ReferenceError: processOrder is not defined\n    at HTMLButtonElement.onclick (https://coursier.conciergerie-privee-suzosky.com/:710:91)"}
[2025-09-05 04:44:18] Uncaught ReferenceError: processOrder is not defined | Details: {"message":"Uncaught ReferenceError: processOrder is not defined","source":"https://coursier.conciergerie-privee-suzosky.com/","lineno":710,"colno":91,"error":"ReferenceError: processOrder is not defined\n    at HTMLButtonElement.onclick (https://coursier.conciergerie-privee-suzosky.com/:710:91)"}
[2025-09-05 04:49:50] Uncaught SyntaxError: Identifier 'map' has already been declared | Details: {"message":"Uncaught SyntaxError: Identifier 'map' has already been declared","source":"https://coursier.conciergerie-privee-suzosky.com/","lineno":2650,"colno":13,"error":"SyntaxError: Identifier 'map' has already been declared"}
[2025-09-05 04:49:50] Uncaught SyntaxError: Identifier 'map' has already been declared | Details: {"message":"Uncaught SyntaxError: Identifier 'map' has already been declared","source":"https://coursier.conciergerie-privee-suzosky.com/","lineno":2650,"colno":13,"error":"SyntaxError: Identifier 'map' has already been declared"}
[2025-09-05 04:49:50] Uncaught TypeError: Cannot read properties of null (reading 'addEventListener') | Details: {"message":"Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')","source":"https://coursier.conciergerie-privee-suzosky.com/","lineno":4478,"colno":19,"error":"TypeError: Cannot read properties of null (reading 'addEventListener')\n    at setupChatEvents (https://coursier.conciergerie-privee-suzosky.com/:4478:19)\n    at initializeChat (https://coursier.conciergerie-privee-suzosky.com/:4273:9)\n    at HTMLDocument.<anonymous> (https://coursier.conciergerie-privee-suzosky.com/:4595:9)"}
[2025-09-05 04:49:50] Uncaught TypeError: Cannot read properties of null (reading 'addEventListener') | Details: {"message":"Uncaught TypeError: Cannot read properties of null (reading 'addEventListener')","source":"https://coursier.conciergerie-privee-suzosky.com/","lineno":4478,"colno":19,"error":"TypeError: Cannot read properties of null (reading 'addEventListener')\n    at setupChatEvents (https://coursier.conciergerie-privee-suzosky.com/:4478:19)\n    at initializeChat (https://coursier.conciergerie-privee-suzosky.com/:4273:9)\n    at HTMLDocument.<anonymous> (https://coursier.conciergerie-privee-suzosky.com/:4595:9)"}
[2025-09-05 04:50:25] Uncaught SyntaxError: Identifier 'map' has already been declared | Details: {"message":"Uncaught SyntaxError: Identifier 'map' has already been declared","source":"https://coursier.conciergerie-privee-suzosky.com/","lineno":2650,"colno":13,"error":"SyntaxError: Identifier 'map' has already been declared"}
